Timestamp,Actor,Target,Spell,Aura Apply,White Damage,White Crit,Yellow Damage,Yellow Crit,Consecutive Crit,Buffer Income,Observed Buffer,Expected Buffer,Observed Tick,Expected Tick,Buffer Delta,Tick Delta,Delta Ratio,Remaining Deep Wound Tick,Vomit Before,Vomit After,Vomit Before Bonus,Vomit After Bonus,Munched,Munched Bonus,Total Observed Tick,Total Expected Tick,Total Tick Damage Delta,Total Vomit Before,Total Vomit After,Total Munched Bonus
5/8 16:07:08.073,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,0000000000000000,,1473.0,nil,1.0,,0,0,0,0,,,,,,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0
5/8 16:07:08.264,Player-4904-00822A31,BUFF,Bloodrage,1,,,,,0,0,0,0,,,,,,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0
5/8 16:07:09.273,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Bloodthirst,,118.0,0,1822.0,nil,0,0,0,0,,,,,,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0
5/8 16:07:09.273,Player-4904-00822A31,BUFF,Bloodthirst,1,,,,,0,0,0,0,,,,,,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0
5/8 16:07:09.273,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,0000000000000000,,983.0,nil,1.0,,0,0,0,0,,,,,,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0
5/8 16:07:11.052,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Whirlwind,,118.0,0,1847.0,nil,0,0,0,0,,,,,,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0
5/8 16:07:11.052,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Whirlwind,,118.0,0,2681.0,1,1,638.85,0,638.85,,,,,,6,,,,,,,0,0.0,0.0,0.0,0.0,0.0
5/8 16:07:11.052,Player-4904-00822A31,BUFF,Bloodthirst,0,,,,,1,0,0,0,,,,,,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0
5/8 16:07:11.052,Player-4904-00822A31,BUFF,Flurry,1,,,,,1,0,0,0,,,,,,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0
5/8 16:07:11.052,Player-4904-00822A31,DEBUFF,Deep Wounds,1,,,,,1,0,0,0,,,,,,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0
