Timestamp,Actor,Target,Spell,White Damage,White Crit,Yellow Damage,Yellow Crit,Buffer Income,Expected Buffer,Observed Tick,Expected Tick,Metric,Value
5/13 15:46:05.571,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,450.0,nil,1.0,,,,,,,
5/13 15:46:07.156,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,579.0,1,1.0,,271.35,271.35,,,,
5/13 15:46:08.170,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,45.0,nil,0,226.12500000000003,45.0,45.225,,
5/13 15:46:08.398,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,451.0,nil,1.0,,,,,,,
5/13 15:46:08.766,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,1077.0,nil,,,,,,
5/13 15:46:09.138,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,45.0,nil,0,180.90000000000003,45.0,45.225,,
5/13 15:46:10.172,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,45.0,nil,0,135.67500000000004,45.0,45.225,,
5/13 15:46:10.926,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,450.0,nil,1.0,,,,,,,
5/13 15:46:11.175,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,45.0,nil,0,90.45000000000005,45.0,45.225,,
5/13 15:46:12.180,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,46.0,nil,0,45.225000000000044,46.0,45.225,,
5/13 15:46:12.968,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,1077.0,nil,,,,,,
5/13 15:46:13.171,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,45.0,nil,0,4.263256414560601e-14,45.0,45.225,,
5/13 15:46:14.033,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,0000000000000000,451.0,nil,1.0,,,,,,,
5/13 15:46:15.656,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,579.0,1,1.0,,271.35,271.3500000000001,,,,
5/13 15:46:16.687,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,45.0,nil,0,226.12500000000006,45.0,45.225000000000016,,
5/13 15:46:16.825,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Bloodthirst,118.0,0,2447.0,1,434.16,660.2850000000001,,,,
5/13 15:46:16.827,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee MH Crit,1170.0,1,1.0,,434.16,1094.4450000000002,,,,
5/13 15:46:17.936,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Deep Wound,118.0,0,182.0,nil,0,912.0375000000001,182.0,182.40750000000003,,
5/13 15:46:18.150,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Melee OH Crit,732.0,1,1.0,,271.35,1183.3875000000003,,,,
5/13 15:46:18.561,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,762.0,nil,,,,,,
5/13 15:46:18.561,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00005EBCDB,Whirlwind,118.0,0,1732.0,1,434.16,434.16,,,,
5/13 15:46:18.561,Player-4904-00880CEA,Creature-0-4908-571-77-33272-0001DEBCDB,Whirlwind,118.0,0,476.0,nil,,,,,,
5/13 15:46:18.561,Player-4904-00880CEA,Creature-0-4908-571-77-33272-00015EBCE5,Whirlwind,118.0,0,1083.0,1,271.35,271.35,,,,
